ZIPCODE,NAICS2012_11,NAICS2012_71,NAICS2012_61,NAICS2012_52,NAICS2012_62,NAICS2012_51,NAICS2012_21,NAICS2012_54,LAT,LON,STATE,ESTMTD_POP_2015
1001,0,3,3,13,46,3,0,42,42.06,-72.61,MA,15220
1002,0,15,33,28,78,13,1,89,42.37,-72.52,MA,16570
1003,0,0,0,1,3,3,0,1,42.39,-72.52,MA,184
1004,0,0,1,1,1,2,0,1,42.37,-72.52,MA,794
1005,1,0,2,5,7,0,0,12,42.42,-72.1,MA,4270
1007,1,3,9,8,30,2,0,21,42.27,-72.4,MA,14180
1008,0,2,0,0,1,0,0,2,42.18,-72.93,MA,1140
1009,0,0,0,1,0,0,0,1,42.2,-72.34,MA,1238
1010,1,2,0,1,2,0,0,7,42.11,-72.2,MA,3420
1011,0,1,0,0,0,0,0,0,42.28,-72.98,MA,1090
1012,0,0,0,0,3,0,0,1,42.4,-72.85,MA,610
1013,0,2,4,19,28,3,0,15,42.15,-72.6,MA,18880
1020,0,7,7,27,52,9,1,22,42.17,-72.57,MA,25790
1021,0,0,0,1,1,0,0,0,42.17,-72.57,MA,566
1022,0,0,6,0,2,0,0,4,42.2,-72.54,MA,1780
1026,0,1,3,0,1,0,1,2,42.46,-72.9,MA,890
1027,0,5,9,10,40,6,0,38,42.26,-72.68,MA,16320
1028,0,7,9,41,66,6,0,48,42.06,-72.51,MA,15330
1029,0,0,0,0,0,0,0,1,42.17,-73.03,MA,557
1030,1,7,1,11,19,0,0,17,42.06,-72.67,MA,11010
1031,0,1,2,0,1,0,0,0,42.33,-72.2,MA,1000
1032,0,1,0,0,2,0,1,1,42.46,-72.81,MA,470
1033,1,1,2,4,5,1,1,7,42.26,-72.52,MA,5890
1034,1,0,0,0,1,1,0,3,42.06,-72.86,MA,1860
1035,0,7,7,14,31,6,0,29,42.35,-72.58,MA,4620
1036,1,1,1,4,7,1,0,6,42.06,-72.41,MA,4880
1037,0,0,2,0,0,1,0,2,42.35,-72.2,MA,779
1038,1,2,0,0,5,1,0,2,42.37,-72.6,MA,2280
1039,0,1,2,1,2,1,0,2,42.39,-72.7,MA,1240
1040,0,13,23,50,143,8,0,62,42.21,-72.64,MA,29750
1041,0,2,0,0,2,0,0,1,42.21,-72.64,MA,1408
1050,0,0,0,1,4,0,1,0,42.23,-72.88,MA,2270
1053,0,2,0,1,9,1,0,2,42.35,-72.71,MA,1520
1054,0,1,1,0,2,0,0,7,42.45,-72.5,MA,1750
1056,0,6,7,20,32,4,0,22,42.16,-72.48,MA,18130
1057,1,2,2,4,6,2,0,8,42.09,-72.31,MA,7600
1059,1,0,0,0,2,0,0,0,42.4,-72.52,MA,70
1060,0,15,22,36,125,28,0,105,42.32,-72.63,MA,11260
1061,0,0,0,1,2,1,0,5,42.32,-72.67,MA,469
1062,1,3,6,7,40,3,1,15,42.32,-72.67,MA,10090
1063,0,1,1,0,0,0,0,0,42.32,-72.64,MA,177
1066,0,0,0,0,0,3,0,1,42.41,-72.66,MA,402
1068,0,1,0,0,1,0,0,3,42.35,-72.05,MA,1790
1069,1,5,7,9,22,4,0,18,42.16,-72.32,MA,7190
1070,0,1,1,0,0,0,0,0,42.51,-72.91,MA,540
1071,1,0,0,0,1,0,0,0,42.18,-72.85,MA,1390
1072,0,2,1,0,0,0,0,5,42.45,-72.4,MA,1350
1073,0,5,1,3,7,2,0,11,42.23,-72.73,MA,5980
1075,0,4,8,22,31,3,1,22,42.26,-72.56,MA,14590
1077,3,11,1,8,13,0,0,11,42.05,-72.76,MA,8820
1079,0,0,0,0,0,0,0,1,42.2,-72.33,MA,992
1080,0,0,2,3,4,0,0,5,42.18,-72.37,MA,2000
1081,1,0,0,0,0,0,0,0,42.06,-72.21,MA,1490
1082,1,3,2,11,17,1,0,6,42.25,-72.24,MA,8840
1083,0,0,1,2,1,0,0,2,42.21,-72.19,MA,3037
1085,0,13,9,37,97,8,2,63,42.13,-72.75,MA,34780
1086,0,1,0,0,1,0,0,0,42.13,-72.79,MA,886
1088,0,1,0,1,2,0,0,3,42.39,-72.64,MA,490
1089,0,14,14,52,109,8,0,79,42.12,-72.65,MA,25520
1090,0,0,0,2,1,1,0,1,42.12,-72.65,MA,510
1092,0,0,0,1,0,1,0,1,42.19,-72.24,MA,1332
1093,0,0,0,0,1,0,0,1,42.44,-72.65,MA,516
1095,1,5,7,22,40,1,0,38,42.13,-72.43,MA,13840
1096,0,0,2,2,3,1,0,6,42.4,-72.76,MA,2310
1098,0,3,2,1,2,1,0,1,42.41,-72.93,MA,1060
1101,0,0,0,0,2,1,0,3,42.11,-72.53,MA,2038
1102,0,0,0,2,6,0,0,0,42.11,-72.53,MA,0
1103,0,4,9,38,68,16,0,157,42.1,-72.59,MA,1580
1104,0,2,8,15,93,6,0,30,42.13,-72.57,MA,19290
1105,0,3,5,10,39,20,0,21,42.1,-72.58,MA,8040
1106,0,8,8,26,57,5,0,33,42.04,-72.57,MA,15400
1107,0,0,1,4,69,5,0,1,42.12,-72.61,MA,8420
1108,0,2,6,6,34,1,0,14,42.08,-72.56,MA,21860
1109,0,2,7,7,45,4,0,9,42.11,-72.53,MA,21920
1111,0,1,0,4,0,0,0,1,42.11,-72.53,MA,0
1115,0,0,0,12,0,0,0,13,42.11,-72.53,MA,25
1116,0,0,0,0,2,0,0,0,42.04,-72.57,MA,82
1118,0,2,2,7,29,0,0,6,42.09,-72.53,MA,12820
1119,0,1,3,6,15,3,0,7,42.12,-72.51,MA,11040
1128,0,0,1,4,7,0,0,3,42.09,-72.49,MA,2610
1129,0,3,4,8,13,1,0,4,42.12,-72.49,MA,6540
1138,0,1,0,0,0,0,0,0,42.11,-72.53,MA,688
1144,0,0,1,16,2,0,0,11,42.11,-72.53,MA,0
1151,0,1,1,10,9,1,0,6,42.15,-72.51,MA,7630
1199,0,0,0,0,3,0,0,0,42.12,-72.6,MA,0
1201,1,30,17,65,223,22,1,132,42.45,-73.26,MA,38200
1202,0,3,0,1,1,1,0,2,42.45,-73.26,MA,1387
1220,1,2,3,10,11,0,0,6,42.62,-73.11,MA,7260
1222,0,1,0,0,0,0,0,0,42.05,-73.33,MA,730
1223,0,2,3,0,0,2,0,2,42.33,-73.07,MA,1930
1225,0,0,0,1,2,0,0,2,42.55,-73.15,MA,2970
1226,0,2,0,4,9,1,2,12,42.47,-73.16,MA,5910
1227,0,1,0,0,0,0,0,0,42.47,-73.16,MA,262
1229,0,0,0,1,0,0,0,0,42.28,-73.34,MA,163
1230,1,14,7,17,45,9,0,42,42.19,-73.35,MA,6260
1235,0,1,2,0,2,0,0,2,42.42,-73.07,MA,2580
1236,0,0,1,0,2,0,0,5,42.27,-73.38,MA,1420
1237,1,4,0,1,6,1,0,3,42.51,-73.22,MA,2720
1238,0,2,2,9,11,4,1,15,42.3,-73.25,MA,5160
1240,0,8,10,16,21,3,0,18,42.35,-73.28,MA,4110
1242,0,0,1,0,1,0,0,1,42.33,-73.25,MA,559
1243,1,0,0,0,0,0,0,0,42.35,-73.01,MA,315
1244,0,0,0,0,1,0,0,1,42.12,-73.26,MA,328
1245,0,3,0,0,2,1,0,2,42.18,-73.21,MA,680
1247,0,6,1,16,42,11,0,20,42.68,-73.11,MA,11710
1252,0,1,0,0,0,0,0,0,42.17,-73.44,MA,281
1253,0,1,0,1,3,1,0,0,42.21,-73.11,MA,740
1254,1,0,1,1,3,0,0,4,42.37,-73.36,MA,1060
1255,1,1,0,0,1,0,0,1,42.11,-73.13,MA,600
1257,0,4,3,4,1,0,1,5,42.1,-73.34,MA,2080
1258,0,1,0,1,1,1,0,4,42.11,-73.46,MA,600
1259,0,1,0,1,0,1,0,1,42.07,-73.23,MA,410
1260,0,0,0,1,0,1,0,1,42.3,-73.34,MA,254
1262,2,10,2,4,5,1,1,5,42.3,-73.32,MA,1342
1264,0,0,0,0,0,1,0,0,42.24,-73.19,MA,198
1266,0,0,1,2,0,0,1,5,42.31,-73.39,MA,1240
1267,1,11,6,12,23,6,0,24,42.7,-73.2,MA,5170
1301,0,12,11,26,98,10,0,51,42.58,-72.59,MA,14160
1302,0,1,0,2,3,0,0,3,42.58,-72.59,MA,502
1330,0,1,1,0,0,1,0,4,42.53,-72.78,MA,1310
1331,0,3,3,12,33,3,0,9,42.59,-72.23,MA,11210
1337,0,2,1,0,2,0,0,1,42.66,-72.55,MA,2440
1338,0,0,0,0,1,0,0,1,42.57,-72.82,MA,210
1339,0,3,1,1,1,0,0,1,42.63,-72.88,MA,1240
1340,0,0,0,0,0,0,0,1,42.66,-72.68,MA,1600
1341,0,1,2,1,1,2,0,1,42.51,-72.68,MA,1560
1342,0,2,3,0,1,0,1,2,42.55,-72.6,MA,1340
1344,0,1,0,1,1,0,0,1,42.6,-72.4,MA,1390
1350,0,0,0,0,0,0,0,1,42.72,-72.98,MA,35
1351,0,0,1,1,1,0,0,5,42.53,-72.53,MA,2110
1354,0,1,0,0,2,0,0,1,42.62,-72.51,MA,1450
1355,1,2,0,0,1,1,0,2,42.5,-72.33,MA,860
1360,2,0,1,1,2,1,0,3,42.7,-72.43,MA,2680
